,age,gender,race,location
0,9,1,2,UTKFace/9_1_2_20161219204347420.jpg.chip.jpg
1,36,0,1,UTKFace/36_0_1_20170117163203851.jpg.chip.jpg
2,86,1,0,UTKFace/86_1_0_20170120225751953.jpg.chip.jpg
3,26,1,0,UTKFace/26_1_0_20170116171048641.jpg.chip.jpg
4,1,1,2,UTKFace/1_1_2_20161219154612988.jpg.chip.jpg
5,52,0,1,UTKFace/52_0_1_20170117161018159.jpg.chip.jpg
6,25,1,0,UTKFace/25_1_0_20170117134403373.jpg.chip.jpg
7,16,0,0,UTKFace/16_0_0_20170104003740977.jpg.chip.jpg
8,27,0,3,UTKFace/27_0_3_20170119210058457.jpg.chip.jpg
9,36,0,3,UTKFace/36_0_3_20170119180245724.jpg.chip.jpg
10,58,0,2,UTKFace/58_0_2_20170116193704928.jpg.chip.jpg
11,6,1,0,UTKFace/6_1_0_20170114024512634.jpg.chip.jpg
12,35,1,2,UTKFace/35_1_2_20170116185947151.jpg.chip.jpg
13,1,1,3,UTKFace/1_1_3_20161219230734016.jpg.chip.jpg
14,26,1,1,UTKFace/26_1_1_20170103181931657.jpg.chip.jpg
15,2,0,2,UTKFace/2_0_2_20161219141650121.jpg.chip.jpg
16,53,1,0,UTKFace/53_1_0_20170110143534851.jpg.chip.jpg
17,35,0,3,UTKFace/35_0_3_20170119201304861.jpg.chip.jpg
18,23,1,0,UTKFace/23_1_0_20170117142807780.jpg.chip.jpg
19,24,0,3,UTKFace/24_0_3_20170119152239904.jpg.chip.jpg
20,26,1,2,UTKFace/26_1_2_20170116182434267.jpg.chip.jpg
21,75,0,0,UTKFace/75_0_0_20170117204739711.jpg.chip.jpg
22,36,1,4,UTKFace/36_1_4_20170104172843788.jpg.chip.jpg
23,23,1,0,UTKFace/23_1_0_20170116222839270.jpg.chip.jpg
24,50,0,0,UTKFace/50_0_0_20170117155052592.jpg.chip.jpg
25,15,0,0,UTKFace/15_0_0_20170116211720424.jpg.chip.jpg
26,25,0,1,UTKFace/25_0_1_20170116002302626.jpg.chip.jpg
27,37,0,0,UTKFace/37_0_0_20170104205628245.jpg.chip.jpg
28,10,0,1,UTKFace/10_0_1_20170110223848885.jpg.chip.jpg
29,22,0,1,UTKFace/22_0_1_20170113150441654.jpg.chip.jpg
